time: 2021-03-11 17:43:19.597209        x2: 0.32    y2: 0.144    z2: -0.96
time: 2021-03-11 17:43:19.986007        x1: -0.144    y1: 0.128    z1: -0.992
time: 2021-03-11 17:43:19.986007        x2: 0.32    y2: 0.16    z2: -0.976
time: 2021-03-11 17:43:20.327330        x1: -0.144    y1: 0.112    z1: -0.992
time: 2021-03-11 17:43:20.327330        x2: 0.32    y2: 0.144    z2: -0.96
time: 2021-03-11 17:43:20.717918        x1: -0.192    y1: 0.128    z1: -0.992
time: 2021-03-11 17:43:20.717918        x2: 0.336    y2: 0.144    z2: -0.96
time: 2021-03-11 17:43:21.107292        x1: -0.08    y1: 0.128    z1: -0.992
time: 2021-03-11 17:43:21.107292        x2: 0.32    y2: 0.144    z2: -0.96
time: 2021-03-11 17:43:21.399795        x1: -0.192    y1: 0.128    z1: -0.992
time: 2021-03-11 17:43:21.399795        x2: 0.304    y2: 0.128    z2: -0.96
time: 2021-03-11 17:43:21.693035        x1: -0.144    y1: 0.064    z1: -0.992
time: 2021-03-11 17:43:21.693035        x2: 0.32    y2: 0.128    z2: -0.976
time: 2021-03-11 17:43:22.082987        x1: -0.256    y1: 0.144    z1: -0.976
time: 2021-03-11 17:43:22.082987        x2: 0.32    y2: 0.128    z2: -0.976
time: 2021-03-11 17:43:22.473007        x1: -0.24    y1: 0.048    z1: -1.008
time: 2021-03-11 17:43:22.473007        x2: 0.304    y2: 0.128    z2: -0.976
time: 2021-03-11 17:43:22.862421        x1: -0.16    y1: 0.08    z1: -0.992
time: 2021-03-11 17:43:22.862421        x2: 0.288    y2: 0.096    z2: -0.96
time: 2021-03-11 17:43:23.154844        x1: -0.32    y1: 0.16    z1: -0.912
time: 2021-03-11 17:43:23.154844        x2: 0.24    y2: 0.08    z2: -0.976
time: 2021-03-11 17:43:23.496957        x1: -0.224    y1: 0.096    z1: -1.024
time: 2021-03-11 17:43:23.496957        x2: 0.336    y2: 0.16    z2: -0.944
time: 2021-03-11 17:43:23.984257        x1: -0.208    y1: 0.096    z1: -1.008
time: 2021-03-11 17:43:23.984257        x2: 0.32    y2: 0.144    z2: -0.96
time: 2021-03-11 17:43:24.423288        x1: -0.208    y1: 0.064    z1: -1.008
time: 2021-03-11 17:43:24.423288        x2: 0.304    y2: 0.16    z2: -0.976
time: 2021-03-11 17:43:24.812443        x1: -0.224    y1: 0.112    z1: -1.008
time: 2021-03-11 17:43:24.812443        x2: 0.288    y2: 0.112    z2: -0.976
time: 2021-03-11 17:43:25.104903        x1: -0.224    y1: 0.112    z1: -1.008
time: 2021-03-11 17:43:25.104903        x2: 0.288    y2: 0.128    z2: -0.976
time: 2021-03-11 17:43:25.398048        x1: -0.224    y1: 0.112    z1: -0.992
time: 2021-03-11 17:43:25.398048        x2: 0.288    y2: 0.128    z2: -0.976
time: 2021-03-11 17:43:25.788060        x1: -0.208    y1: 0.112    z1: -1.008
time: 2021-03-11 17:43:25.788060        x2: 0.256    y2: 0.128    z2: -0.992
time: 2021-03-11 17:43:26.178063        x1: -0.208    y1: 0.144    z1: -1.024
time: 2021-03-11 17:43:26.178063        x2: 0.272    y2: 0.128    z2: -1.008
time: 2021-03-11 17:43:26.519010        x1: -0.224    y1: 0.08    z1: -0.976
time: 2021-03-11 17:43:26.519010        x2: 0.32    y2: 0.16    z2: -0.96
time: 2021-03-11 17:43:26.811555        x1: -0.24    y1: 0.064    z1: -0.96
time: 2021-03-11 17:43:26.811555        x2: 0.288    y2: 0.128    z2: -0.96
time: 2021-03-11 17:43:27.104907        x1: -0.272    y1: 0.096    z1: -1.008
time: 2021-03-11 17:43:27.104907        x2: 0.304    y2: 0.144    z2: -0.944
time: 2021-03-11 17:43:27.544478        x1: -0.256    y1: 0.096    z1: -1.008
time: 2021-03-11 17:43:27.544478        x2: 0.272    y2: 0.16    z2: -0.96
time: 2021-03-11 17:43:27.982274        x1: -0.24    y1: 0.128    z1: -0.992
time: 2021-03-11 17:43:27.982274        x2: 0.208    y2: 0.144    z2: -0.992
time: 2021-03-11 17:43:28.470226        x1: -0.256    y1: 0.128    z1: -1.008
time: 2021-03-11 17:43:28.470226        x2: 0.288    y2: 0.208    z2: -0.96
time: 2021-03-11 17:43:28.860265        x1: -0.24    y1: 0.048    z1: -0.976
time: 2021-03-11 17:43:28.860265        x2: 0.24    y2: 0.192    z2: -0.976
time: 2021-03-11 17:43:29.250282        x1: -0.624    y1: 0.112    z1: -0.96
time: 2021-03-11 17:43:29.250282        x2: 0.416    y2: 0.384    z2: -0.832
time: 2021-03-11 17:43:29.639142        x1: -0.464    y1: 0.096    z1: -0.912
time: 2021-03-11 17:43:29.639142        x2: 0.432    y2: 0.48    z2: -0.768
time: 2021-03-11 17:43:29.931620        x1: -0.448    y1: 0.112    z1: -0.928
time: 2021-03-11 17:43:29.931620        x2: 0.496    y2: 0.496    z2: -0.736
time: 2021-03-11 17:43:30.225038        x1: -0.464    y1: 0.112    z1: -0.912
time: 2021-03-11 17:43:30.225038        x2: 0.512    y2: 0.496    z2: -0.736
time: 2021-03-11 17:43:30.664128        x1: -0.464    y1: 0.096    z1: -0.928
time: 2021-03-11 17:43:30.664128        x2: 0.48    y2: 0.48    z2: -0.784
time: 2021-03-11 17:43:31.054108        x1: -0.464    y1: 0.112    z1: -0.912
time: 2021-03-11 17:43:31.054108        x2: 0.432    y2: 0.464    z2: -0.784
time: 2021-03-11 17:43:31.541313        x1: -0.464    y1: 0.112    z1: -0.928
time: 2021-03-11 17:43:31.541313        x2: 0.432    y2: 0.48    z2: -0.816
time: 2021-03-11 17:43:31.931644        x1: -0.464    y1: 0.112    z1: -0.912
time: 2021-03-11 17:43:31.931644        x2: 0.416    y2: 0.464    z2: -0.816
time: 2021-03-11 17:43:32.321588        x1: -0.464    y1: 0.096    z1: -0.912
time: 2021-03-11 17:43:32.321588        x2: 0.416    y2: 0.48    z2: -0.816
time: 2021-03-11 17:43:32.711627        x1: -0.464    y1: 0.112    z1: -0.912
time: 2021-03-11 17:43:32.711627        x2: 0.416    y2: 0.464    z2: -0.8
time: 2021-03-11 17:43:33.100777        x1: -0.48    y1: 0.096    z1: -0.928
time: 2021-03-11 17:43:33.100777        x2: 0.416    y2: 0.48    z2: -0.8
time: 2021-03-11 17:43:33.539038        x1: -0.48    y1: 0.096    z1: -0.912
time: 2021-03-11 17:43:33.539038        x2: 0.432    y2: 0.464    z2: -0.8
time: 2021-03-11 17:43:33.880260        x1: -0.496    y1: 0.112    z1: -0.912
time: 2021-03-11 17:43:33.880260        x2: 0.432    y2: 0.464    z2: -0.816
time: 2021-03-11 17:43:34.270919        x1: -0.496    y1: 0.096    z1: -0.912
time: 2021-03-11 17:43:34.270919        x2: 0.432    y2: 0.464    z2: -0.8
time: 2021-03-11 17:43:34.709757        x1: -0.496    y1: 0.112    z1: -0.896
time: 2021-03-11 17:43:34.709757        x2: 0.432    y2: 0.464    z2: -0.8
